cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	39	25	18	19	37	14	13	0.56	12.281790204678362	ZNF672:links=19,enh=18;ZNF692:links=20,enh=19
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	0	0	0	0	0	0	nan	nan	NANOGNB:links=0,enh=0;NANOG:links=0,enh=0
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	0	0	0	0	0	0	nan	nan	SOHLH2:links=0,enh=0;CCDC169-SOHLH2:links=0,enh=0
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	41	31	18	21	39	10	5	0.3225806451612903	9.350081746031746	ZBTB25:links=22,enh=21;ZBTB1:links=19,enh=18
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	21	21	0	20	20	0	0	0.0	13.50909	MESP1:links=21,enh=20;MESP2:links=0,enh=0
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	43	24	20	21	41	19	11	0.7916666666666666	10.792774523809523	ZSCAN32:links=21,enh=20;ZNF174:links=22,enh=21
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	49	35	22	25	47	14	11	0.4	9.163679090909092	ZNF48:links=26,enh=25;ZNF771:links=23,enh=22
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	37	20	17	18	35	17	11	0.85	8.063181862745097	ZNF668:links=19,enh=18;ZNF646:links=18,enh=17
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	0	0	0	0	0	0	nan	nan	FOXC2:links=0,enh=0;FOXL1:links=0,enh=0
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	88	47	17	26	84	25	10	0.5319148936170213	11.64754613706727	ZNF397:links=20,enh=19;ZSCAN30:links=23,enh=22;ZNF24:links=27,enh=26;ZNF396:links=18,enh=17
